Timestamp,Product Barcode,Quantity,Product,customer_id,Customer_Name,Email,Order_Code,Wix_Order_Number,Wix_Contact_Id
2/22/2020 11:13:16,FFH39467DK,0,,,,,,,
2/22/2020 11:13:20,FFH39467DK,20,,,,,,,
5/24/2025 19:35:36,FUMTRHUIV54PU,20,,,,,,,
5/24/2025 19:36:14,,5,,,,,,,
5/24/2025 19:36:24,,22,,,,,,,
5/24/2025 19:36:49,,22,,,,,,,
5/24/2025 17:47:37,FUMTRHUIV54PU,77,,,,,,,
5/26/2025 11:57:33,FUMTRHUIV54PU,2000,,,,,,,
5/26/2025 12:00:43,FFH39467DK,95330,,,,,,,
5/26/2025 12:03:40,LYOGX92RX,165,,,,,,,
5/26/2025 16:40:36,Ffh39467dk,20,,,,,,,
5/26/2025 16:41:11,Ffh39467dk,300,,,,,,,
5/28/2025 10:21:15,XVQEJZGYZHI8AS,4,,,,,,,
5/30/2025 13:00:14,FUMTRHUIV54PU,10,Adipotide - 10 MG,,,,,,
5/30/2025 22:03:28,UK58452RX,460,Adipotide - 10 MG,,,,,,
5/30/2025 22:06:44,,460,Adipotide - 10 MG,,,,,,
5/30/2025 22:11:41,HAG5537BZXLRIFIRG9PU,460,Adipotide - 10 MG,,,,,,
2025-06-18T18:27:05.560Z,RVPEQCFFE6-53AS,100,Melanotan 2 10mg,,,,,,
2025-06-18T19:38:26.053Z,FUMTRHUIV54PU,50,Adipotide - 10 MG,,,,,,
2025-06-19T16:18:28.619Z,GGG5817RX,3,BPC 157 5mg,,,,,,
2025-06-19T16:18:28.619Z,XVQEJZGYZHI8AS,2,Semaglutide 5mg,,,,,,
2025-06-19T16:18:28.619Z,YZVDHDMYZHI44YL,2,Tirzepatide 10 mg,,,,,,
2025-06-19T16:18:28.619Z,WVXEWFGYZHI44YL,2,Retatrutide 10 MG,,,,,,
2025-06-19T16:18:28.619Z,XVVQRFQQZR6PU,2,Sermorelin 2mg,,,,,,
2025-06-19T22:17:53.465Z,WVXEWFGYZHI44YL,50,Retatrutide 10 MG,,,,,,
2025-06-20T01:16:51.736Z,XVQEJZGYZHI5AS,200,Semaglutide 2mg,,,,,,
2025-06-22T06:25:24.561Z,XVPEQY7RX,10,Selank 5mg,,,,,,
2025-06-22T06:25:27.587Z,XVPEQY7RX,10,Selank 5mg,,,,,,
2025-06-22T22:20:40.032Z,FUMTRHUIV54PU,1,Adipotide - 10 MG,,,,,,
2025-06-22T22:20:40.032Z,FFH39467DK,1,AOD-9604 2mg,,,,,,
2025-06-22T22:20:40.032Z,GGG58135DK,1,BPC 157 10mg,,,,,,
2025-06-22T22:20:40.032Z,GGG5814RX,1,BPC 157 2mg,,,,,,
2025-06-23T01:33:19.008Z,FUMTRHUIV54PU,1,Adipotide - 10 MG,,,,,,
2025-06-23T01:33:19.008Z,FFH39467DK,1,AOD-9604 2mg,,,,,,
2025-06-23T01:33:19.008Z,GGG58135DK,1,BPC 157 10mg,,,,,,
2025-06-23T03:25:48.359Z,GGG58135DK,3,BPC 157 10mg,,,,,,
2025-06-23T03:31:29.139Z,GGG58135DK,1,BPC 157 10mg,,,,,,
2025-06-23T03:31:29.139Z,GGG5814RX,2,BPC 157 2mg,,,,,,
2025-06-23T04:42:34.738Z,XVQEJZGYZHI8AS,5,Semaglutide 5mg,,,,,,
2025-06-23T04:42:34.738Z,XVQEA52RX,5,Semax 10mg,,,,,,
2025-06-23T14:40:44.027Z,YZVDHDMYZHI49YL,1,Tirzepatide 15 mg,,,,,,
12/31/24,XVQEJZGYZHI44YL,1,,,,,,,
12/31/24,LYVT56YL,1,,,,,,,
12/29/24,YZVDHDMYZHI64YL,1,,,,,,,
12/26/24,YZVDHDMYZHI64YL,2,,,,,,,
12/26/24,LYVT56YL,1,,,,,,,
12/26/24,HRKVLZUSKMHH9YL,1,,,,,,,
12/26/24,LYVT56YL,1,,,,,,,
12/26/24,XVQEJZGYZHI44YL,1,,,,,,,
12/23/24,FFH39467DK,1,,,,,,,
12/22/24,YZVDHDMYZHI64YL,1,,,,,,,
12/22/24,YZVDHDMYZHI64YL,2,,,,,,,
12/22/24,HRKVLZUSKMHH52RX,1,,,,,,,
12/20/24,FFH39467DK,1,,,,,,,
12/20/24,XVQEJZGYZHI44YL,1,,,,,,,
12/20/24,JGMXKOXTE54PU,1,,,,,,,
12/19/24,YZVDHDMYZHI64YL,1,,,,,,,
12/19/24,JGMXKOXTE54PU,1,,,,,,,
12/18/24,XVQEJZGYZHI44YL,1,,,,,,,
12/17/24,XVQEJZGYZHI44YL,1,,,,,,,
12/17/24,JGMXKOXTE54PU,1,,,,,,,
12/17/24,YZVDHDMYZHI64YL,2,,,,,,,
12/16/24,MTK9342NL,1,,,,,,,
12/16/24,FFH39467DK,2,,,,,,,
12/16/24,UK58452RX,2,,,,,,,
12/16/24,RFXWF52RX,6,,,,,,,
12/16/24,XVQEJZGYZHI44YL,1,,,,,,,
12/16/24,JGMXKOXTE54PU,1,,,,,,,
12/13/24,FFH39467DK,1,,,,,,,
12/13/24,FFH39467DK,1,,,,,,,
12/13/24,XVQEJZGYZHI44YL,1,,,,,,,
12/13/24,HRKVLZUSKMHH9YL,1,,,,,,,
12/13/24,LYVT56YL,1,,,,,,,
12/12/24,FFH39467DK,1,,,,,,,
12/11/24,FFH39467DK,1,,,,,,,
12/10/24,YZVDHDMYZHI94YL,1,,,,,,,
12/6/24,YZVDHDMYZHI94YL,1,,,,,,,
12/4/24,XVQEJZGYZHI44YL,10,,,,,,,
12/4/24,XVQEJZGYZHI44YL,1,,,,,,,
12/4/24,JGMXKOXTE54PU,1,,,,,,,
12/4/24,JGMXKOXTE54PU,1,,,,,,,
12/4/24,HRKVLZUSKMHH52RX,1,,,,,,,
12/3/24,XVQEJZGYZHI44YL,1,,,,,,,
12/3/24,JGMXKOXTE54PU,1,,,,,,,
12/3/24,YZVDHDMYZHI64YL,1,,,,,,,
12/3/24,XVQEJZGYZHI44YL,1,,,,,,,
12/3/24,LYVT56YL,1,,,,,,,
12/2/24,XVQEJZGYZHI8AS,1,,,,,,,
12/2/24,JGMXKOXTE54PU,1,,,,,,,
12/2/24,FFH39467DK,1,,,,,,,
11/30/24,YZVDHDMYZHI64YL,1,,,,,,,
11/25/24,YZVDHDMYZHI49YL,1,,,,,,,
11/23/24,UK58452RX,1,,,,,,,
11/23/24,YZVDHDMYZHI64YL,5,,,,,,,
11/22/24,YZVDHDMYZHI64YL,1,,,,,,,
11/22/24,JGMXKOXTE54PU,1,,,,,,,
11/22/24,FFH39467DK,1,,,,,,,
11/20/24,XVQEJZGYZHI44YL,1,,,,,,,
11/20/24,XVQEJZGYZHI8AS,1,,,,,,,
11/20/24,XVQEJZGYZHI8AS,1,,,,,,,
11/20/24,JGMXKOXTE54PU,1,,,,,,,
11/19/24,JGMXKOXTE54PU,1,,,,,,,
11/19/24,YZVDHDMYZHI49YL,1,,,,,,,
11/19/24,YZVDHDMYZHI64YL,1,,,,,,,
11/19/24,XVQEJZGYZHI44YL,1,,,,,,,
11/19/24,FFH39467DK,1,,,,,,,
11/18/24,XVQEJZGYZHI44YL,1,,,,,,,
11/18/24,JGMXKOXTE54PU,1,,,,,,,
11/18/24,YZVDHDMYZHI49YL,1,,,,,,,
11/18/24,JGMXKOXTE54PU,1,,,,,,,
11/18/24,YZVDHDMYZHI64YL,1,,,,,,,
11/15/24,YZVDHDMYZHI64YL,1,,,,,,,
11/12/24,YZVDHDMYZHI64YL,1,,,,,,,
11/9/24,YZVDHDMYZHI94YL,1,,,,,,,
11/7/24,YZVDHDMYZHI94YL,1,,,,,,,
11/7/24,YZVDHDMYZHI94YL,1,,,,,,,
11/6/24,YZVDHDMYZHI64YL,1,,,,,,,
11/6/24,XVQEJZGYZHI44YL,20,,,,,,,
11/5/24,XVQEJZGYZHI44YL,1,,,,,,,
11/5/24,FFH39467DK,1,,,,,,,
11/4/24,YZVDHDMYZHI64YL,1,,,,,,,
11/4/24,JGMXKOXTE54PU,1,,,,,,,
11/4/24,XVQEJZGYZHI44YL,1,,,,,,,
11/4/24,YZVDHDMYZHI64YL,1,,,,,,,
11/3/24,XVQEJZGYZHI44YL,1,,,,,,,
11/1/24,YZVDHDMYZHI64YL,1,,,,,,,
10/31/24,YZVDHDMYZHI64YL,1,,,,,,,
10/29/24,YZVDHDMYZHI64YL,1,,,,,,,
10/26/24,XVQEJZGYZHI5AS,1,,,,,,,
10/26/24,JGMXKOXTE54PU,1,,,,,,,
10/24/24,FFH39467DK,1,,,,,,,
10/23/24,FFH39467DK,1,,,,,,,
10/22/24,XVQEJZGYZHI44YL,1,,,,,,,
10/21/24,YZVDHDMYZHI64YL,1,,,,,,,
10/17/24,XVQEJZGYZHI44YL,1,,,,,,,
10/17/24,JGMXKOXTE54PU,1,,,,,,,
10/17/24,YZVDHDMYZHI44YL,1,,,,,,,
10/17/24,XVQEJZGYZHI5AS,1,,,,,,,
10/17/24,JGMXKOXTE54PU,1,,,,,,,
10/14/24,FFH39467DK,1,,,,,,,
10/9/24,YZVDHDMYZHI64YL,1,,,,,,,
10/9/24,YZVDHDMYZHI64YL,1,,,,,,,
10/9/24,YZVDHDMYZHI64YL,1,,,,,,,
10/8/24,YZVDHDMYZHI64YL,1,,,,,,,
10/6/24,HRKVLZUSKMHH52RX,1,,,,,,,
10/5/24,YZVDHDMYZHI64YL,1,,,,,,,
10/3/24,YZVDHDMYZHI64YL,1,,,,,,,
10/3/24,FFH39467DK,1,,,,,,,
10/3/24,YZVDHDMYZHI94YL,3,,,,,,,
10/1/24,XVQEJZGYZHI5AS,1,,,,,,,
10/1/24,JGMXKOXTE54PU,1,,,,,,,
10/1/24,YZVDHDMYZHI64YL,1,,,,,,,
10/1/24,YZVDHDMYZHI49YL,1,,,,,,,
10/1/24,JGMXKOXTE54PU,1,,,,,,,
10/1/24,YZVDHDMYZHI94YL,1,,,,,,,
9/25/24,YZVDHDMYZHI49YL,1,,,,,,,
9/25/24,JGMXKOXTE54PU,1,,,,,,,
9/25/24,YZVDHDMYZHI64YL,1,,,,,,,
9/24/24,YZVDHDMYZHI49YL,1,,,,,,,
9/24/24,XVQEJZGYZHI44YL,1,,,,,,,
9/24/24,YZVDHDMYZHI64YL,1,,,,,,,
9/23/24,FFH39467DK,1,,,,,,,
9/21/24,YZVDHDMYZHI64YL,1,,,,,,,
9/20/24,YZVDHDMYZHI64YL,1,,,,,,,
9/20/24,YZVDHDMYZHI64YL,1,,,,,,,
9/10/24,FFH39467DK,1,,,,,,,
9/10/24,YZVDHDMYZHI64YL,1,,,,,,,
9/7/24,YZVDHDMYZHI94YL,1,,,,,,,
9/5/24,YZVDHDMYZHI64YL,1,,,,,,,
9/4/24,YZVDHDMYZHI64YL,1,,,,,,,
9/3/24,YZVDHDMYZHI64YL,1,,,,,,,
9/2/24,XVQEJZGYZHI44YL,1,,,,,,,
8/30/24,YZVDHDMYZHI44YL,1,,,,,,,
8/30/24,YZVDHDMYZHI44YL,1,,,,,,,
8/30/24,XVQEJZGYZHI44YL,1,,,,,,,
8/30/24,YZVDHDMYZHI64YL,1,,,,,,,
8/30/24,XVQEJZGYZHI44YL,1,,,,,,,
8/29/24,YZVDHDMYZHI94YL,1,,,,,,,
8/29/24,YZVDHDMYZHI64YL,1,,,,,,,
8/28/24,YZVDHDMYZHI64YL,1,,,,,,,
8/28/24,XVQEJZGYZHI8AS,1,,,,,,,
8/28/24,LYVT56YL,1,,,,,,,
8/27/24,XVQEJZGYZHI44YL,1,,,,,,,
8/27/24,YZVDHDMYZHI64YL,1,,,,,,,
8/27/24,XJ75-84YL,1,,,,,,,
8/26/24,YZVDHDMYZHI94YL,1,,,,,,,
8/26/24,XVQEJZGYZHI44YL,1,,,,,,,
8/24/24,XVQEJZGYZHI44YL,1,,,,,,,
8/24/24,YZVDHDMYZHI49YL,1,,,,,,,
8/24/24,XVQEJZGYZHI5AS,1,,,,,,,
8/23/24,YZVDHDMYZHI94YL,1,,,,,,,
8/23/24,FFH39467DK,1,,,,,,,
8/22/24,YZVDHDMYZHI64YL,1,,,,,,,
8/21/24,YZVDHDMYZHI64YL,1,,,,,,,
8/19/24,YZVDHDMYZHI64YL,1,,,,,,,
8/19/24,YZVDHDMYZHI64YL,1,,,,,,,
8/18/24,YZVDHDMYZHI64YL,1,,,,,,,
8/18/24,YZVDHDMYZHI64YL,1,,,,,,,
8/18/24,XJ75-84YL,1,,,,,,,
8/18/24,YZVDHDMYZHI64YL,1,,,,,,,
8/18/24,YZVDHDMYZHI94YL,1,,,,,,,
8/18/24,YZVDHDMYZHI64YL,1,,,,,,,
8/18/24,YZVDHDMYZHI64YL,1,,,,,,,
8/18/24,YZVDHDMYZHI64YL,1,,,,,,,
8/17/24,YZVDHDMYZHI64YL,1,,,,,,,
8/17/24,YZVDHDMYZHI64YL,1,,,,,,,
8/17/24,YZVDHDMYZHI64YL,1,,,,,,,
8/17/24,YZVDHDMYZHI94YL,1,,,,,,,
8/17/24,YZVDHDMYZHI64YL,1,,,,,,,
8/15/24,YZVDHDMYZHI64YL,1,,,,,,,
8/15/24,FFH39467DK,1,,,,,,,
8/15/24,YZVDHDMYZHI64YL,1,,,,,,,
8/15/24,YZVDHDMYZHI64YL,1,,,,,,,
8/14/24,XJ75-84YL,1,,,,,,,
8/14/24,YZVDHDMYZHI64YL,1,,,,,,,
8/14/24,FFH39467DK,1,,,,,,,
8/14/24,XJ75-84YL,1,,,,,,,
8/14/24,YZVDHDMYZHI64YL,1,,,,,,,
8/13/24,YZVDHDMYZHI64YL,1,,,,,,,
8/13/24,YZVDHDMYZHI64YL,1,,,,,,,
8/11/24,YZVDHDMYZHI64YL,1,,,,,,,
8/11/24,FFH39467DK,1,,,,,,,
8/11/24,YZVDHDMYZHI94YL,1,,,,,,,
8/11/24,YZVDHDMYZHI94YL,1,,,,,,,
8/11/24,YZVDHDMYZHI64YL,1,,,,,,,
8/10/24,XJ75-84YL,1,,,,,,,
8/10/24,YZVDHDMYZHI64YL,1,,,,,,,
8/10/24,YZVDHDMYZHI64YL,1,,,,,,,
8/10/24,YZVDHDMYZHI64YL,1,,,,,,,
8/9/24,YZVDHDMYZHI49YL,1,,,,,,,
8/9/24,YZVDHDMYZHI64YL,1,,,,,,,
8/9/24,XVQEJZGYZHI44YL,8,,,,,,,
8/9/24,YZVDHDMYZHI94YL,2,,,,,,,
8/8/24,FFH39467DK,1,,,,,,,
8/8/24,YZVDHDMYZHI94YL,1,,,,,,,
8/8/24,YZVDHDMYZHI94YL,1,,,,,,,
8/7/24,FFH39467DK,1,,,,,,,
8/7/24,YZVDHDMYZHI64YL,1,,,,,,,
8/5/24,YZVDHDMYZHI94YL,1,,,,,,,
8/5/24,YZVDHDMYZHI64YL,1,,,,,,,
8/5/24,YZVDHDMYZHI44YL,1,,,,,,,
8/5/24,YZVDHDMYZHI64YL,1,,,,,,,
8/5/24,YZVDHDMYZHI94YL,1,,,,,,,
8/4/24,YZVDHDMYZHI64YL,1,,,,,,,
8/4/24,FFH39467DK,1,,,,,,,
8/4/24,XJ75-84YL,1,,,,,,,
8/4/24,YZVDHDMYZHI64YL,1,,,,,,,
8/4/24,YZVDHDMYZHI64YL,1,,,,,,,
8/4/24,XJ75-84YL,1,,,,,,,
8/4/24,YZVDHDMYZHI64YL,1,,,,,,,
8/4/24,YZVDHDMYZHI64YL,1,,,,,,,
8/3/24,YZVDHDMYZHI64YL,1,,,,,,,
8/2/24,YZVDHDMYZHI64YL,1,,,,,,,
8/2/24,YZVDHDMYZHI64YL,1,,,,,,,
8/2/24,YZVDHDMYZHI64YL,1,,,,,,,
8/2/24,YZVDHDMYZHI64YL,1,,,,,,,
8/1/24,XJ75-84YL,1,,,,,,,
8/1/24,YZVDHDMYZHI44YL,1,,,,,,,
8/1/24,YZVDHDMYZHI64YL,1,,,,,,,
8/1/24,XJ75-84YL,1,,,,,,,
8/1/24,YZVDHDMYZHI64YL,1,,,,,,,
7/31/24,XVQEJZGYZHI44YL,1,,,,,,,
7/31/24,FFH39467DK,1,,,,,,,
7/31/24,YZVDHDMYZHI64YL,1,,,,,,,
7/30/24,FFH39467DK,1,,,,,,,
7/30/24,XJ75-84YL,1,,,,,,,
7/29/24,YZVDHDMYZHI64YL,1,,,,,,,
7/29/24,YZVDHDMYZHI64YL,1,,,,,,,
7/28/24,YZVDHDMYZHI64YL,1,,,,,,,
7/27/24,YZVDHDMYZHI94YL,1,,,,,,,
7/27/24,YZVDHDMYZHI64YL,1,,,,,,,
7/27/24,FFH39467DK,1,,,,,,,
7/27/24,YZVDHDMYZHI64YL,1,,,,,,,
7/27/24,YZVDHDMYZHI64YL,1,,,,,,,
7/26/24,FFH39467DK,1,,,,,,,
7/26/24,YZVDHDMYZHI64YL,1,,,,,,,
7/25/24,XJ75-84YL,1,,,,,,,
7/24/24,XVQEJZGYZHI44YL,1,,,,,,,
7/24/24,YZVDHDMYZHI64YL,1,,,,,,,
7/24/24,FFH39467DK,1,,,,,,,
7/24/24,YZVDHDMYZHI64YL,1,,,,,,,
7/24/24,XVQEJZGYZHI44YL,1,,,,,,,
7/23/24,YZVDHDMYZHI94YL,1,,,,,,,
7/23/24,XJ75-84YL,1,,,,,,,
7/23/24,YZVDHDMYZHI64YL,1,,,,,,,
7/22/24,YZVDHDMYZHI64YL,1,,,,,,,
7/22/24,YZVDHDMYZHI64YL,1,,,,,,,
7/22/24,FFH39467DK,1,,,,,,,
7/22/24,YZVDHDMYZHI64YL,1,,,,,,,
7/22/24,YZVDHDMYZHI64YL,1,,,,,,,
7/21/24,FFH39467DK,1,,,,,,,
7/21/24,YZVDHDMYZHI64YL,1,,,,,,,
7/21/24,YZVDHDMYZHI64YL,1,,,,,,,
7/21/24,YZVDHDMYZHI64YL,1,,,,,,,
7/21/24,YZVDHDMYZHI64YL,1,,,,,,,
7/21/24,XJ75-84YL,1,,,,,,,
7/20/24,YZVDHDMYZHI64YL,1,,,,,,,
7/20/24,YZVDHDMYZHI64YL,1,,,,,,,
7/20/24,YZVDHDMYZHI64YL,1,,,,,,,
7/20/24,YZVDHDMYZHI64YL,1,,,,,,,
7/19/24,YZVDHDMYZHI64YL,1,,,,,,,
7/18/24,HRKVLZUSKMHH52RX,1,,,,,,,
7/18/24,YZVDHDMYZHI94YL,1,,,,,,,
7/18/24,YZVDHDMYZHI64YL,1,,,,,,,
7/17/24,FFH39467DK,1,,,,,,,
7/17/24,XJ75-84YL,1,,,,,,,
7/17/24,YZVDHDMYZHI64YL,1,,,,,,,
7/17/24,UK58452RX,1,,,,,,,
7/16/24,YZVDHDMYZHI94YL,1,,,,,,,
7/16/24,YZVDHDMYZHI64YL,1,,,,,,,
7/16/24,YZVDHDMYZHI64YL,1,,,,,,,
7/16/24,YZVDHDMYZHI64YL,1,,,,,,,
7/15/24,YZVDHDMYZHI64YL,1,,,,,,,
7/15/24,YZVDHDMYZHI64YL,1,,,,,,,
7/15/24,FFH39467DK,1,,,,,,,
7/15/24,HRKVLZUSKMHH52RX,1,,,,,,,
7/15/24,HRKVLZUSKMHH52RX,1,,,,,,,
7/15/24,YZVDHDMYZHI64YL,1,,,,,,,
7/14/24,YZVDHDMYZHI64YL,1,,,,,,,
7/14/24,YZVDHDMYZHI64YL,1,,,,,,,
7/14/24,YZVDHDMYZHI64YL,1,,,,,,,
7/13/24,YZVDHDMYZHI94YL,1,,,,,,,
7/13/24,FFH39467DK,1,,,,,,,
7/12/24,HRKVLZUSKMHH52RX,1,,,,,,,
7/11/24,YZVDHDMYZHI64YL,1,,,,,,,
7/11/24,XJ75-84YL,1,,,,,,,
7/11/24,YZVDHDMYZHI64YL,1,,,,,,,
7/11/24,FFH39467DK,1,,,,,,,
7/11/24,YZVDHDMYZHI64YL,1,,,,,,,
7/11/24,XVQEJZGYZHI44YL,2,,,,,,,
7/10/24,XVQEJZGYZHI44YL,1,,,,,,,
7/10/24,XVQEJZGYZHI44YL,1,,,,,,,
7/10/24,XVQEJZGYZHI44YL,2,,,,,,,
7/10/24,LYOGX525DK,2,,,,,,,
7/10/24,XJ75-84YL,1,,,,,,,
7/10/24,YZVDHDMYZHI64YL,1,,,,,,,
7/10/24,YZVDHDMYZHI64YL,1,,,,,,,
7/10/24,YZVDHDMYZHI64YL,1,,,,,,,
7/10/24,XJ75-84YL,1,,,,,,,
7/9/24,YZVDHDMYZHI64YL,1,,,,,,,
7/9/24,FFH39467DK,1,,,,,,,
7/9/24,YZVDHDMYZHI64YL,1,,,,,,,
7/9/24,YZVDHDMYZHI64YL,1,,,,,,,
7/9/24,GGG58135DK,1,,,,,,,
7/9/24,XJ75-84YL,1,,,,,,,
7/9/24,FFH39467DK,1,,,,,,,
7/9/24,YZVDHDMYZHI64YL,1,,,,,,,
7/8/24,FFH39467DK,1,,,,,,,
7/8/24,YZVDHDMYZHI94YL,1,,,,,,,
7/8/24,YZVDHDMYZHI64YL,1,,,,,,,
7/8/24,XJ75-84YL,1,,,,,,,
7/7/24,YZVDHDMYZHI64YL,1,,,,,,,
7/7/24,YZVDHDMYZHI64YL,1,,,,,,,
7/7/24,FFH39467DK,1,,,,,,,
7/7/24,YZVDHDMYZHI64YL,1,,,,,,,
7/7/24,HRKVLZUSKMHH52RX,1,,,,,,,
7/7/24,FFH39467DK,1,,,,,,,
7/7/24,YZVDHDMYZHI64YL,1,,,,,,,
7/7/24,XVQEJZGYZHI44YL,1,,,,,,,
7/7/24,YZVDHDMYZHI64YL,1,,,,,,,
7/6/24,YZVDHDMYZHI64YL,1,,,,,,,
7/6/24,YZVDHDMYZHI64YL,1,,,,,,,
7/6/24,YZVDHDMYZHI64YL,1,,,,,,,
7/6/24,YZVDHDMYZHI64YL,1,,,,,,,
7/6/24,YZVDHDMYZHI64YL,1,,,,,,,
7/6/24,XJ75-84YL,1,,,,,,,
7/5/24,XVQEJZGYZHI44YL,1,,,,,,,
7/4/24,RFXWF52RX,1,,,,,,,
7/4/24,FFH39467DK,1,,,,,,,
7/3/24,XJ75-84YL,1,,,,,,,
7/2/24,YZVDHDMYZHI64YL,1,,,,,,,
7/2/24,XJ75-84YL,1,,,,,,,
7/2/24,YZVDHDMYZHI64YL,1,,,,,,,
7/2/24,XJ75-84YL,1,,,,,,,
7/2/24,YZVDHDMYZHI64YL,1,,,,,,,
7/1/24,FFH39467DK,1,,,,,,,
6/30/24,FFH39467DK,1,,,,,,,
6/30/24,YZVDHDMYZHI94YL,1,,,,,,,
6/30/24,FFH39467DK,1,,,,,,,
6/30/24,FFH39467DK,1,,,,,,,
6/30/24,YZVDHDMYZHI94YL,1,,,,,,,
6/30/24,UK58452RX,1,,,,,,,
6/30/24,XJ75-84YL,1,,,,,,,
6/29/24,YZVDHDMYZHI64YL,1,,,,,,,
6/29/24,YZVDHDMYZHI64YL,1,,,,,,,
6/28/24,YZVDHDMYZHI94YL,1,,,,,,,
6/28/24,YZVDHDMYZHI64YL,1,,,,,,,
6/28/24,XJ75-84YL,1,,,,,,,
6/27/24,YZVDHDMYZHI64YL,1,,,,,,,
6/27/24,YZVDHDMYZHI64YL,1,,,,,,,
6/27/24,YZVDHDMYZHI64YL,1,,,,,,,
6/27/24,YZVDHDMYZHI64YL,1,,,,,,,
6/27/24,FFH39467DK,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,YZVDHDMYZHI94YL,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,FFH39467DK,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,YZVDHDMYZHI94YL,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,UK58452RX,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/26/24,YZVDHDMYZHI64YL,1,,,,,,,
6/25/24,YZVDHDMYZHI64YL,1,,,,,,,
6/25/24,FFH39467DK,1,,,,,,,
6/25/24,FFH39467DK,1,,,,,,,
6/25/24,XVQEJZGYZHI44YL,1,,,,,,,
6/25/24,YZVDHDMYZHI64YL,1,,,,,,,
6/25/24,YZVDHDMYZHI94YL,1,,,,,,,
6/25/24,XJ75-84YL,1,,,,,,,
6/25/24,XJ75-84YL,1,,,,,,,
6/25/24,YZVDHDMYZHI64YL,1,,,,,,,
6/24/24,YZVDHDMYZHI94YL,10,,,,,,,
6/24/24,XJ75-84YL,1,,,,,,,
6/24/24,FFH39467DK,1,,,,,,,
6/24/24,FFH39467DK,1,,,,,,,
6/24/24,YZVDHDMYZHI64YL,1,,,,,,,
6/24/24,YZVDHDMYZHI64YL,1,,,,,,,
6/23/24,FFH39467DK,1,,,,,,,
6/23/24,YZVDHDMYZHI64YL,1,,,,,,,
6/23/24,YZVDHDMYZHI64YL,1,,,,,,,
6/23/24,FFH39467DK,1,,,,,,,
6/23/24,YZVDHDMYZHI64YL,1,,,,,,,
6/22/24,XVQEJZGYZHI44YL,1,,,,,,,
6/22/24,FFH39467DK,1,,,,,,,
6/22/24,HRKVLZUSKMHH52RX,1,,,,,,,
6/22/24,YZVDHDMYZHI64YL,1,,,,,,,
6/22/24,XJ75-84YL,1,,,,,,,
6/22/24,FFH39467DK,1,,,,,,,
6/21/24,YZVDHDMYZHI64YL,1,,,,,,,
6/21/24,YZVDHDMYZHI64YL,1,,,,,,,
6/21/24,YZVDHDMYZHI64YL,1,,,,,,,
6/21/24,YZVDHDMYZHI64YL,1,,,,,,,
6/21/24,YZVDHDMYZHI64YL,1,,,,,,,
6/21/24,YZVDHDMYZHI94YL,1,,,,,,,
6/20/24,XVQEJZGYZHI44YL,1,,,,,,,
6/20/24,YZVDHDMYZHI64YL,1,,,,,,,
6/20/24,FFH39467DK,1,,,,,,,
6/20/24,YZVDHDMYZHI64YL,1,,,,,,,
6/20/24,YZVDHDMYZHI64YL,1,,,,,,,
6/19/24,YZVDHDMYZHI49YL,2,,,,,,,
6/19/24,FFH39467DK,1,,,,,,,
6/19/24,RFXWF52RX,1,,,,,,,
6/19/24,YZVDHDMYZHI64YL,1,,,,,,,
6/19/24,YZVDHDMYZHI64YL,1,,,,,,,
6/19/24,GGG58135DK,1,,,,,,,
6/19/24,YZVDHDMYZHI64YL,1,,,,,,,
6/19/24,FFH39467DK,1,,,,,,,
6/19/24,YZVDHDMYZHI64YL,1,,,,,,,
6/18/24,YZVDHDMYZHI64YL,1,,,,,,,
6/18/24,XJ75-84YL,1,,,,,,,
6/18/24,YZVDHDMYZHI64YL,1,,,,,,,
6/18/24,YZVDHDMYZHI64YL,1,,,,,,,
6/18/24,YZVDHDMYZHI64YL,1,,,,,,,
6/18/24,FFH39467DK,1,,,,,,,
6/18/24,GGG58135DK,1,,,,,,,
6/18/24,FFH39467DK,1,,,,,,,
6/18/24,YZVDHDMYZHI64YL,1,,,,,,,
6/17/24,YZVDHDMYZHI64YL,1,,,,,,,
6/17/24,YZVDHDMYZHI64YL,1,,,,,,,
6/17/24,XJ75-84YL,1,,,,,,,
